real,prompt,model,cfg_scale,steps,denoising_strength,forged1,seed1,forged2,seed2,forged3,seed3,forged4,seed4,forged5,seed5
000001.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000001_forg_945865907.png,945865907,000001_forg_85244361.png,85244361,000001_forg_258308819.png,258308819,000001_forg_108947418.png,108947418,000001_forg_374161547.png,374161547
000002.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000002_forg_16944468.png,16944468,000002_forg_1005539128.png,1005539128,000002_forg_121896204.png,121896204,000002_forg_955839054.png,955839054,000002_forg_837900499.png,837900499
000003.jpg,"a high-quality portrait photo of a person, Male, Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000003_forg_311284172.png,311284172,000003_forg_812782856.png,812782856,000003_forg_67070433.png,67070433,000003_forg_248598256.png,248598256,000003_forg_328017845.png,328017845
000004.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000004_forg_63879504.png,63879504,000004_forg_744854630.png,744854630,000004_forg_139122862.png,139122862,000004_forg_477058207.png,477058207,000004_forg_556240041.png,556240041
000005.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000005_forg_1040689308.png,1040689308,000005_forg_49141919.png,49141919,000005_forg_936335223.png,936335223,000005_forg_430967280.png,430967280,000005_forg_668868726.png,668868726
000006.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000006_forg_423321620.png,423321620,000006_forg_309172288.png,309172288,000006_forg_935199608.png,935199608,000006_forg_1031188916.png,1031188916,000006_forg_788277381.png,788277381
000007.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000007_forg_405799922.png,405799922,000007_forg_481729855.png,481729855,000007_forg_88966263.png,88966263,000007_forg_125840371.png,125840371,000007_forg_205048614.png,205048614
000008.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000008_forg_845758881.png,845758881,000008_forg_541053265.png,541053265,000008_forg_609102215.png,609102215,000008_forg_791698567.png,791698567,000008_forg_1023261801.png,1023261801
000009.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000009_forg_282913265.png,282913265,000009_forg_651304645.png,651304645,000009_forg_342598795.png,342598795,000009_forg_368718978.png,368718978,000009_forg_1015852595.png,1015852595
000010.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000010_forg_925536900.png,925536900,000010_forg_396433984.png,396433984,000010_forg_996864028.png,996864028,000010_forg_868451534.png,868451534,000010_forg_181732959.png,181732959
000011.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000011_forg_223260413.png,223260413,000011_forg_116355297.png,116355297,000011_forg_388400685.png,388400685,000011_forg_165836334.png,165836334,000011_forg_459868892.png,459868892
000012.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000012_forg_235845906.png,235845906,000012_forg_502715519.png,502715519,000012_forg_447176644.png,447176644,000012_forg_927899802.png,927899802,000012_forg_147630800.png,147630800
000013.jpg,"a high-quality portrait photo of a person, Male, Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000013_forg_253616633.png,253616633,000013_forg_102752004.png,102752004,000013_forg_1011586714.png,1011586714,000013_forg_239546612.png,239546612,000013_forg_725802471.png,725802471
000014.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000014_forg_1063782807.png,1063782807,000014_forg_850767374.png,850767374,000014_forg_641254116.png,641254116,000014_forg_647520574.png,647520574,000014_forg_27888149.png,27888149
000015.jpg,"a high-quality portrait photo of a person, Male, , , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000015_forg_913496082.png,913496082,000015_forg_461555196.png,461555196,000015_forg_148750860.png,148750860,000015_forg_627593199.png,627593199,000015_forg_254347867.png,254347867
000016.jpg,"a high-quality portrait photo of a person, Male, Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000016_forg_1045649580.png,1045649580,000016_forg_857325813.png,857325813,000016_forg_709131512.png,709131512,000016_forg_171222644.png,171222644,000016_forg_579576034.png,579576034
000017.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000017_forg_540025383.png,540025383,000017_forg_377222949.png,377222949,000017_forg_424346470.png,424346470,000017_forg_452111160.png,452111160,000017_forg_1069135288.png,1069135288
000018.jpg,"a high-quality portrait photo of a person, , , , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000018_forg_256353773.png,256353773,000018_forg_445012522.png,445012522,000018_forg_87680105.png,87680105,000018_forg_196347835.png,196347835,000018_forg_264113034.png,264113034
000019.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000019_forg_339254147.png,339254147,000019_forg_1028945893.png,1028945893,000019_forg_812865874.png,812865874,000019_forg_196513204.png,196513204,000019_forg_136600941.png,136600941
000020.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000020_forg_142737144.png,142737144,000020_forg_943442563.png,943442563,000020_forg_1068977382.png,1068977382,000020_forg_403881092.png,403881092,000020_forg_591107704.png,591107704
000021.jpg,"a high-quality portrait photo of a person, Male, , , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000021_forg_889805926.png,889805926,000021_forg_797815949.png,797815949,000021_forg_79671986.png,79671986,000021_forg_499799852.png,499799852,000021_forg_815611146.png,815611146
000022.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000022_forg_162718291.png,162718291,000022_forg_477794301.png,477794301,000022_forg_98991712.png,98991712,000022_forg_505663282.png,505663282,000022_forg_147649450.png,147649450
000023.jpg,"a high-quality portrait photo of a person, Male, Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000023_forg_76601467.png,76601467,000023_forg_885292105.png,885292105,000023_forg_779263894.png,779263894,000023_forg_320535412.png,320535412,000023_forg_601540037.png,601540037
000024.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000024_forg_248414999.png,248414999,000024_forg_754129684.png,754129684,000024_forg_890573967.png,890573967,000024_forg_794535818.png,794535818,000024_forg_6898307.png,6898307
000025.jpg,"a high-quality portrait photo of a person, Male, Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000025_forg_989153941.png,989153941,000025_forg_146951065.png,146951065,000025_forg_669816224.png,669816224,000025_forg_668360477.png,668360477,000025_forg_585259357.png,585259357
000026.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000026_forg_307738089.png,307738089,000026_forg_429585191.png,429585191,000026_forg_342999608.png,342999608,000026_forg_383588937.png,383588937,000026_forg_294775291.png,294775291
000027.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000027_forg_453628030.png,453628030,000027_forg_136866892.png,136866892,000027_forg_566513523.png,566513523,000027_forg_459882313.png,459882313,000027_forg_840656544.png,840656544
000028.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000028_forg_975166433.png,975166433,000028_forg_28756815.png,28756815,000028_forg_373691800.png,373691800,000028_forg_947619729.png,947619729,000028_forg_142220847.png,142220847
000029.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000029_forg_324757139.png,324757139,000029_forg_14449747.png,14449747,000029_forg_481714046.png,481714046,000029_forg_552775788.png,552775788,000029_forg_1012054540.png,1012054540
000030.jpg,"a high-quality portrait photo of a person, Male, , , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000030_forg_870475224.png,870475224,000030_forg_345723860.png,345723860,000030_forg_326579402.png,326579402,000030_forg_919518426.png,919518426,000030_forg_1001311763.png,1001311763
