model,defense,num_identities,num_tests,top1_accuracy,mrr,avg_similarity,avg_similarity_correct,avg_similarity_incorrect,precision,recall,f1_score,runtime
facenet,none,20,50,0.98,0.9840000000000001,0.7379303050041198,0.7434387365166022,0.4680171608924866,0.98,0.98,0.98,29.94618797302246
facenet,none,50,50,0.98,0.9825,0.772345541715622,0.7772920314146547,0.5299675464630127,0.98,0.98,0.98,57.06821608543396
facenet,clip_1.0,20,50,0.98,0.9840000000000001,0.7379303073883057,0.7434387389494448,0.4680171608924866,0.98,0.98,0.98,32.506279945373535
facenet,clip_1.0,50,50,0.98,0.9825,0.7723455440998077,0.7772920338474975,0.5299675464630127,0.98,0.98,0.98,61.095279932022095
facenet,noise_0.01,20,50,0.98,0.9840000000000001,0.7198637097159546,0.7249793149390394,0.46919905378479504,0.98,0.98,0.98,40.55908203125
facenet,noise_0.01,50,50,0.98,0.9825,0.7532055064116986,0.7578957695564407,0.5233826123193502,0.98,0.98,0.98,63.19651389122009
facenet,noise_0.05,20,50,0.96,0.9733333333333334,0.495057942952105,0.5019804577601742,0.3289175875584456,0.96,0.96,0.96,30.710171222686768
facenet,noise_0.05,50,50,0.98,0.9822222222222223,0.5175149388434129,0.520297489353115,0.3811699638680112,0.98,0.98,0.98,53.99590873718262
facenet,noise_0.1,20,50,0.96,0.972,0.31658443031578626,0.32064573807951785,0.21911304398622972,0.96,0.96,0.96,26.130722761154175
facenet,noise_0.1,50,50,0.98,0.9814285714285714,0.33000053517556033,0.33172297142498997,0.24560115895351056,0.98,0.98,0.98,49.72491717338562
facenet,noise_0.2,20,50,0.92,0.9441071428571428,0.19020452012423508,0.19463107516128514,0.13929913719815928,0.92,0.92,0.92,25.96588397026062
facenet,noise_0.2,50,50,0.9,0.9308333333333334,0.1984223124990648,0.20157873029848952,0.1700145523042422,0.9,0.9,0.9,48.99466800689697
facenet,dp_laplace_e1.0,20,50,0.06,0.19034004736899474,0.10729849877341327,0.10704613660257926,0.10731460699708349,0.06,0.06,0.06,27.554641723632812
facenet,dp_laplace_e1.0,50,50,0.02,0.11191401093027559,0.11811191826689493,0.1007391108099032,0.11846646535785396,0.02,0.02,0.02,53.120497941970825
facenet,dp_laplace_e0.5,20,50,0.06,0.17305466191527086,0.10707717681797681,0.10219493384095914,0.10738880934842474,0.06,0.06,0.06,23.414737701416016
facenet,dp_laplace_e0.5,50,50,0.02,0.09338140375871708,0.11779586061176789,0.094607458057816,0.11826909331695057,0.02,0.02,0.02,51.77061986923218
facenet,dp_gaussian_e1.0,20,50,0.08,0.1942021092643316,0.10671113863310841,0.10949538700231945,0.10646903007926393,0.08,0.08,0.08,26.511966943740845
facenet,dp_gaussian_e1.0,50,50,0.04,0.11121383033943126,0.12016200017960323,0.11846533244654045,0.12023269466848086,0.04,0.04,0.04,57.67423415184021
facenet,dp_gaussian_e0.5,20,50,0.08,0.1849777327961139,0.10648603305968182,0.10815098032043467,0.10634125503700767,0.08,0.08,0.08,29.528045177459717
facenet,dp_gaussian_e0.5,50,50,0.04,0.10556787359054522,0.12010916956371594,0.11729163785942333,0.12022656671806144,0.04,0.04,0.04,52.412582874298096
arcface,none,20,50,0.98,0.9866666666666666,0.6560635036230087,0.6660823815939377,0.16513848304748535,0.98,0.98,0.98,72.90490388870239
arcface,none,50,50,0.96,0.9655128205128204,0.6747913590073585,0.6962000367542108,0.16098309308290482,0.96,0.96,0.96,141.6146080493927
arcface,clip_1.0,20,50,0.98,0.9866666666666666,0.6560635036230087,0.6660823815939377,0.16513848304748535,0.98,0.98,0.98,73.98544716835022
arcface,clip_1.0,50,50,0.96,0.9655128205128204,0.6747913590073585,0.6962000367542108,0.16098309308290482,0.96,0.96,0.96,144.37268996238708
arcface,noise_0.01,20,50,0.98,0.99,0.6407642172139586,0.6506147126365553,0.15808994150671946,0.98,0.98,0.98,70.08783102035522
arcface,noise_0.01,50,50,0.96,0.9629545454545455,0.6601775613189578,0.680832810241211,0.16445158718488206,0.96,0.96,0.96,144.04295015335083
arcface,noise_0.05,20,50,1.0,1.0,0.44329144074311083,0.44329144074311083,0,1.0,1.0,1.0,74.19635701179504
arcface,noise_0.05,50,50,0.96,0.9636969696969697,0.4569727129595567,0.4695033065350525,0.1562384671476548,0.96,0.96,0.96,5957.615292787552
arcface,noise_0.1,20,50,0.98,0.9840000000000001,0.28571449877562044,0.289292671603958,0.11038403018707875,0.98,0.98,0.98,75.65013194084167
arcface,noise_0.1,50,50,0.98,0.9802631578947368,0.29416777252120896,0.29683607580690646,0.16342091152202926,0.98,0.98,0.98,181.42544722557068
arcface,noise_0.2,20,50,0.9,0.9380000000000002,0.17411187511668966,0.17769953241669356,0.14182295941665476,0.9,0.9,0.9,103.51659679412842
arcface,noise_0.2,50,50,0.92,0.9436036036036036,0.17873331087938507,0.18304697857723334,0.12912613235412995,0.92,0.92,0.92,192.51503682136536
arcface,dp_laplace_e1.0,20,50,0.12,0.2353050445753342,0.10978366375081139,0.11687387803790049,0.1088168163480265,0.12,0.12,0.12,109.21880006790161
arcface,dp_laplace_e1.0,50,50,0.04,0.11377244209989654,0.12663048212677183,0.12527834292726733,0.12668682126008451,0.04,0.04,0.04,182.63998007774353
arcface,dp_laplace_e0.5,20,50,0.12,0.214938118740134,0.10926817875506595,0.11257077419054505,0.10881782483204606,0.12,0.12,0.12,78.13447499275208
arcface,dp_laplace_e0.5,50,50,0.04,0.10068450416717623,0.12640914506774592,0.11936394029206192,0.12670269526673278,0.04,0.04,0.04,178.06673884391785
arcface,dp_gaussian_e1.0,20,50,0.0,0.14973149597230367,0.10787973200231102,0,0.10787973200231102,0.0,0.0,0.0,110.16755509376526
arcface,dp_gaussian_e1.0,50,50,0.02,0.10382775351971604,0.12200975119131936,0.1344066383162319,0.12175675349489257,0.02,0.02,0.02,189.93797516822815
arcface,dp_gaussian_e0.5,20,50,0.0,0.14456892838446395,0.10789936562510827,0,0.10789936562510827,0.0,0.0,0.0,101.98107194900513
arcface,dp_gaussian_e0.5,50,50,0.02,0.1009939793200474,0.12196625630622837,0.13300247043946087,0.12174102744636646,0.02,0.02,0.02,199.52329874038696
